time,Q_1375,Q_1371,Q_1376,Q_1370,Q_1401,P_1375,P_1371,P_1376,P_1370,P_1401
2019-03-05T00:00:00,1.7757719423965745,1.185185227561077,0.9090630579121973,0.0021887472780037246,0.0020155392401989907,0.0,0.0,0.0,0.0,0.0
2019-03-06T00:00:00,1.7229953611511852,1.148453167797185,0.8806683855770719,0.0014087929484105932,0.0003586740747457565,0.0,0.0,0.0,0.0,0.0
2019-03-07T00:00:00,1.83411623635192,1.2395740369633022,0.8978139551641804,0.04708389075945411,0.027189484899669002,8.300000190734863,8.300000190734863,8.300000190734863,8.300000190734863,7.099999904632568
2019-03-08T00:00:00,1.895807841848013,1.3266681403171374,0.9190819404418279,0.07358976261606502,0.02664587711042482,0.0,0.0,0.0,0.0,0.0
2019-03-09T00:00:00,1.72161590088309,1.1583049522995146,0.8672325827269383,0.010386947846015335,0.0008697495690319027,0.0,0.0,0.0,0.0,0.0
2019-03-10T00:00:00,1.5956961297857486,1.0696194443518052,0.8220122882942591,0.00030424335688267705,9.999999999999975e-31,0.0,0.0,0.0,0.0,0.0
2019-03-11T00:00:00,1.5416295234495125,1.0340645998771074,0.796282942289336,0.00031106180799701604,0.002674859517826478,0.0,0.0,0.0,0.0,2.200000047683716
2019-03-12T00:00:00,1.5011341022827251,1.0149321479333129,0.7852357913739364,0.004568997142367525,0.005017079888638529,0.0,0.0,0.0,0.0,0.0
2019-03-13T00:00:00,1.4879818261752842,1.0018685702852839,0.7663439503676189,0.004936759507568489,0.0010930195657819241,1.5,1.5,1.5,1.5,1.5
2019-03-14T00:00:00,1.461971248612173,0.9855496741538987,0.7539180581354835,0.0046155926901075076,0.0021245130789327047,1.0,1.0,1.0,1.0,1.5
2019-03-15T00:00:00,1.4288320395047827,0.9739707985078544,0.7481900983011659,0.03265699194182176,0.02394290998451458,0.0,0.0,0.0,0.0,5.599999904632568
2019-03-16T00:00:00,1.4334989374869682,1.00730104161419,0.7417782806433203,0.04183331283888838,0.015855459793026848,0.0,0.0,0.0,0.0,0.0
2019-03-17T00:00:00,1.4312623244099083,0.9739159968951984,0.7297326396064604,0.013046548304092312,0.003457517186200899,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,3.5999999046325684
2019-03-18T00:00:00,1.3797046276094422,0.9436776749372732,0.7187058292751983,0.016178586470211,0.006657933211231967,0.0,0.0,0.0,0.0,0.0
2019-03-19T00:00:00,1.3199647879315348,0.8965446682386057,0.6907570803431962,0.0032322507192968073,0.00036677598075084014,0.0,0.0,0.0,0.0,0.0
2019-03-20T00:00:00,1.2548954659208815,0.8477776326611206,0.6608361507305301,9.999999999999975e-31,9.999999999999975e-31,0.0,0.0,0.0,0.0,0.0
2019-03-21T00:00:00,1.2063513238644334,0.8136222631831945,0.6345708598974209,1.446508078275177e-8,7.35438451670784e-7,0.0,0.0,0.0,0.0,0.0
2019-03-22T00:00:00,1.1687273392314015,0.7877252275256391,0.6134616171832071,1.4682445901930953e-7,2.300789979751611e-6,0.0,0.0,0.0,0.0,0.0
2019-03-23T00:00:00,1.1360544342751469,0.7652259832406333,0.5956795097227803,1.1624069397008962e-6,1.8497045338351072e-6,0.0,0.0,0.0,0.0,0.0
2019-03-24T00:00:00,1.1076735551764745,0.7459398286257154,0.5806016484307072,1.584274474287959e-6,6.641150010304452e-7,0.0,0.0,0.0,0.0,0.0
2019-03-25T00:00:00,1.094421336825349,0.7370898932934065,0.5715127186816029,2.0993315910280388e-7,2.510378075117738e-7,0.0,0.0,0.0,0.0,0.0
2019-03-26T00:00:00,1.071832970642811,0.7246147588156293,0.5662818422309116,0.002447679973728476,2.9134178724675423e-7,0.0,0.0,0.0,0.0,0.0
2019-03-27T00:00:00,1.0546190554091628,0.7136681451001107,0.5566846210594366,0.0038692757957117714,3.60488994900721e-7,0.0,0.0,0.0,0.0,0.0
2019-03-28T00:00:00,1.035564019076612,0.7018646409175396,0.5472672201452279,4.445881819720971e-5,2.7809132769730147e-7,0.0,0.0,0.0,0.0,0.0
2019-03-29T00:00:00,1.0127478157911125,0.6855592644975296,0.5363988754326275,9.999999999999975e-31,1.5224788947214246e-7,0.0,0.0,0.0,0.0,0.0
2019-03-30T00:00:00,0.9874168343825972,0.6685753226697299,0.5243362546875703,3.4176768986416958e-9,8.909299632664411e-8,0.0,0.0,0.0,0.0,0.0
2019-03-31T00:00:00,0.9659273620423617,0.6540287661485497,0.5123547132395739,6.54742968147051e-8,7.414105926057131e-8,0.0,0.0,0.0,0.0,0.0
2019-04-01T00:00:00,0.943138615561578,0.6386871417637296,0.5010242126258897,1.4606108951266868e-7,6.724448367283106e-8,0.0,0.0,0.0,0.0,0.0
2019-04-02T00:00:00,0.9577868007657332,0.6480306469006442,0.49948792954516813,0.0022413102141502815,0.0017574118663374655,2.0,2.0,2.0,2.0,1.7000000476837158
2019-04-03T00:00:00,1.0007874580022993,0.6858459868141423,0.5182317209024567,0.021031783624721703,0.010421365779548946,3.200000047683716,3.200000047683716,3.200000047683716,3.200000047683716,2.700000047683716
2019-04-04T00:00:00,5.307733974125855,4.410617903459561,1.2322036508451732,0.7796719832292268,0.33892409547569313,47.79999923706055,47.79999923706055,47.79999923706055,47.79999923706055,39.400001525878906
2019-04-05T00:00:00,4.757125997586786,3.262868181796785,1.7771540129748429,0.3533975901163022,0.12256315366638476,0.0,0.0,0.0,0.0,0.0
2019-04-06T00:00:00,2.1231827510025894,1.4841415695497453,1.1376371895543091,0.04186954198295204,0.00503868032547681,0.0,0.0,0.0,0.0,0.0
2019-04-07T00:00:00,1.3034055763042633,0.9015340732443186,0.7195182475173865,0.0018726325753123504,2.80406831637537e-5,0.0,0.0,0.0,0.0,0.0
2019-04-08T00:00:00,1.049326330010685,0.7205288277622998,0.572629229303508,0.000573842888579114,0.0015643494801881848,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,1.5
2019-04-09T00:00:00,1.0653297538416526,0.7538203240263691,0.545575733697721,0.05999686230701887,0.03994872223907996,8.0,8.0,8.0,8.0,8.199999809265137
2019-04-10T00:00:00,1.171456314849356,0.8697639927736255,0.5652308590856807,0.07949387445140467,0.032489757014647194,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.100000023841858
2019-04-11T00:00:00,1.1615657084049504,0.8308809321373748,0.5677549322284948,0.0766582622651339,0.028404756222581692,6.5,6.5,6.5,6.5,6.099999904632568
2019-04-12T00:00:00,1.1389031908365725,0.832037390255139,0.5577046724925991,0.06747071582006368,0.024017180799894386,0.0,0.0,0.0,0.0,0.0
2019-04-13T00:00:00,1.021406609138866,0.7110180129951337,0.5226677256784775,0.02414826977768406,0.010678594309035361,3.5,3.5,3.5,3.5,5.0
2019-04-14T00:00:00,0.9486499826126309,0.6752719635667729,0.5053628762640571,0.038744216034043426,0.013345821731468513,0.0,0.0,0.0,0.0,0.0
2019-04-15T00:00:00,0.8808267412483781,0.6162036944178478,0.47438791609598097,0.012807308971326384,0.00041534198250305125,0.0,0.0,0.0,0.0,0.0
2019-04-16T00:00:00,0.8094075901344459,0.5548789831159929,0.438940285676571,3.6253831271294434e-5,9.999999999999975e-31,0.0,0.0,0.0,0.0,0.0
2019-04-17T00:00:00,0.7516844114848628,0.5146944273773013,0.4117165908604546,9.999999999999975e-31,2.0065640049930892e-7,0.0,0.0,0.0,0.0,0.0
2019-04-18T00:00:00,0.7205858721361778,0.49154202180240625,0.38916779516705985,2.154426090771877e-8,6.467291423560191e-7,0.0,0.0,0.0,0.0,0.0
2019-04-19T00:00:00,0.6942387466783084,0.47255602787797657,0.37347562393367,1.9247346579621793e-7,5.421215169417957e-7,0.0,0.0,0.0,0.0,0.0
2019-04-20T00:00:00,0.6706632577702597,0.45590336602448356,0.35973430385841926,3.9738771218749085e-7,2.016674134567715e-7,0.0,0.0,0.0,0.0,0.0
2019-04-21T00:00:00,0.6543225051571976,0.44326437742744645,0.34849607751237627,1.288492419144422e-7,7.503635773842529e-8,0.0,0.0,0.0,0.0,0.0
2019-04-22T00:00:00,0.6444481191689232,0.4355011990885668,0.3414989163705799,1.6456255626229543e-10,8.935939717837492e-8,0.0,0.0,0.0,0.0,0.0
2019-04-23T00:00:00,0.7340019196888979,0.49590511857584113,0.35936156610902165,0.021445071987473873,0.010367867880789703,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,4.199999809265137
2019-04-24T00:00:00,0.9790652512043369,0.7465967687822689,0.4219303003973056,0.1253811589352473,0.05125283221426013,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,7.800000190734863
2019-04-25T00:00:00,1.0592831159537017,0.7649613015205144,0.45855207414172794,0.08113412399403751,0.024886962852482583,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421
2019-04-26T00:00:00,0.9792528314388647,0.6958846537771443,0.4646491450956564,0.06643302262532128,0.03235657698581638,8.0,8.0,8.0,8.0,8.5
2019-04-27T00:00:00,1.0304805685084844,0.7758837588093562,0.4737836951894048,0.10433073507006502,0.03717323507276467,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,3.5
2019-04-28T00:00:00,1.1230609669350098,0.8522197444261197,0.4887141226125644,0.1500783068652959,0.044141966359665274,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,8.899999618530273
2019-04-29T00:00:00,1.146206520187261,0.8538909553521074,0.49564710290695674,0.12012725763471822,0.028437449055428308,0.0,0.0,0.0,0.0,0.0
2019-04-30T00:00:00,0.8849724462928398,0.6207309063707793,0.4516016425231868,0.03502077074807581,0.0007601715347486337,0.0,0.0,0.0,0.0,0.0
2019-05-01T00:00:00,0.719922685824674,0.49756737395076406,0.3931085102679352,0.0025318068893042775,9.999999999999975e-31,0.0,0.0,0.0,0.0,0.0
2019-05-02T00:00:00,0.6809465866995305,0.4637162454170154,0.3588706163876034,0.009220471084544374,0.0077126770006302045,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,3.9000000953674316
2019-05-03T00:00:00,0.7328785480863639,0.5283350550720669,0.36333016358773934,0.05992420230633777,0.02348878687451211,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,3.799999952316284
2019-05-04T00:00:00,1.3264633527032335,1.116501552997312,0.4435841893766504,0.20490296319939394,0.07993879329137972,16.799999237060547,16.799999237060547,16.799999237060547,16.799999237060547,12.800000190734863
2019-05-05T00:00:00,1.5925079156114432,1.1545990828960422,0.5533194037039342,0.2056556210663627,0.06855368226781737,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,4.699999809265137
2019-05-06T00:00:00,1.1304742185985426,0.8032283429498358,0.5309615084505868,0.06512531900895543,0.014752221632746166,0.0,0.0,0.0,0.0,0.0
2019-05-07T00:00:00,0.7850300669286696,0.5380421795418676,0.42250931505289224,0.0030768499199058004,6.012788025153469e-5,0.0,0.0,0.0,0.0,0.0
